,reward
1566,209
1567,292
1568,292
1569,166
1570,343
1571,253
1572,139
1573,191
1574,312
1575,500
1576,196
1577,205
1578,179
1579,239
1580,446
1581,500
1582,135
1583,293
1584,189
1585,244
1586,473
1587,214
1588,377
1589,236
1590,260
1591,360
1592,199
1593,185
1594,293
1595,165
1596,124
1597,156
1598,284
1599,382
1600,237
1601,159
1602,419
1603,500
1604,300
1605,157
1606,152
1607,135
1608,164
1609,168
1610,164
1611,168
1612,106
1613,322
1614,227
1615,153
1616,217
1617,165
1618,150
1619,305
1620,162
1621,287
1622,275
1623,151
1624,181
1625,152
1626,129
1627,103
1628,148
1629,131
1630,194
1631,219
1632,87
1633,163
1634,124
1635,152
1636,208
1637,129
1638,157
1639,472
1640,293
1641,243
1642,307
1643,161
1644,178
1645,190
1646,406
1647,196
1648,180
1649,157
1650,286
1651,286
1652,242
1653,271
1654,310
1655,141
1656,142
1657,117
1658,278
1659,233
1660,298
1661,242
1662,40
1663,248
1664,210
1665,283
1666,179
1667,441
1668,210
1669,250
1670,436
1671,228
1672,218
1673,500
1674,215
1675,255
1676,301
1677,174
1678,500
1679,215
1680,324
1681,258
1682,242
1683,142
1684,383
1685,244
1686,168
1687,488
1688,500
1689,337
1690,221
1691,157
1692,500
1693,275
1694,369
1695,500
1696,150
1697,165
1698,134
1699,446
1700,409
1701,332
1702,228
1703,319
1704,294
1705,203
1706,494
1707,348
1708,388
1709,500
1710,500
1711,185
1712,228
1713,281
1714,420
1715,158
1716,394
1717,168
1718,413
1719,207
1720,500
1721,268
1722,169
1723,243
1724,276
1725,278
1726,18
1727,251
1728,227
1729,297
1730,277
1731,333
1732,255
1733,463
1734,418
1735,284
1736,374
1737,415
1738,390
1739,500
1740,268
1741,332
1742,282
1743,235
1744,390
1745,302
1746,344
1747,500
1748,342
1749,281
1750,500
1751,218
1752,493
1753,387
1754,500
1755,396
1756,360
1757,279
1758,277
1759,262
1760,443
1761,458
1762,471
1763,260
1764,500
1765,500
1766,273
1767,260
1768,500
1769,500
1770,281
1771,209
1772,366
1773,362
1774,321
1775,225
1776,500
1777,500
1778,269
1779,174
1780,355
1781,444
1782,247
1783,326
1784,464
1785,362
1786,198
1787,287
1788,314
1789,286
1790,349
1791,196
1792,337
1793,276
1794,157
1795,251
1796,500
1797,398
1798,440
1799,288
1800,280
1801,302
1802,176
1803,169
1804,285
1805,430
1806,260
1807,500
1808,379
1809,500
1810,375
1811,467
1812,466
1813,500
1814,500
1815,392
1816,422
1817,437
1818,261
1819,350
1820,494
1821,220
1822,375
1823,383
1824,302
1825,169
1826,345
1827,455
1828,252
1829,393
1830,191
1831,371
1832,500
1833,295
1834,232
1835,245
1836,195
1837,500
1838,284
1839,217
1840,213
1841,326
1842,215
1843,263
1844,237
1845,500
1846,500
1847,367
1848,337
1849,228
1850,433
1851,176
1852,301
1853,402
1854,471
1855,500
1856,293
1857,187
1858,473
1859,271
1860,239
1861,230
1862,376
1863,248
1864,183
1865,151
1866,258
1867,258
1868,135
1869,176
1870,115
1871,178
1872,268
1873,144
1874,173
1875,230
1876,401
1877,351
1878,247
1879,414
1880,226
1881,233
1882,282
1883,174
1884,271
1885,500
1886,159
1887,500
1888,162
1889,211
1890,294
1891,229
1892,241
1893,215
1894,312
1895,259
1896,251
1897,342
1898,500
1899,251
1900,248
1901,258
1902,456
1903,287
1904,152
1905,500
1906,212
1907,150
1908,229
1909,173
1910,295
1911,224
1912,177
1913,206
1914,394
1915,251
1916,253
1917,190
1918,500
1919,190
1920,242
1921,164
1922,293
1923,340
1924,152
1925,128
1926,500
1927,167
1928,190
1929,272
1930,232
1931,156
1932,140
1933,152
1934,354
1935,157
1936,184
1937,180
1938,248
1939,183
1940,336
1941,108
1942,180
1943,184
1944,243
1945,466
1946,127
1947,157
1948,174
1949,176
1950,141
1951,172
1952,142
1953,147
1954,202
1955,153
1956,157
1957,390
1958,178
1959,134
1960,200
1961,163
1962,170
1963,208
1964,107
1965,210
1966,321
1967,183
1968,298
1969,500
1970,254
1971,225
1972,177
1973,235
1974,237
1975,201
1976,288
1977,196
1978,220
1979,335
1980,190
1981,318
1982,500
1983,370
1984,429
1985,175
1986,333
1987,190
1988,152
1989,181
1990,173
1991,160
1992,200
1993,168
1994,296
1995,199
1996,194
1997,283
1998,164
1999,347
